ID,Name,Description,Status,Archived,Location Name,Parent Asset,Area,Barcode,Category,Primary User,Warranty Expiration Date,Additional Information,Serial Number,Assigned To,Teams,Parts,Vendors,Contractors,Acquisition cost
1A CRAH 1,1A CRAH 1,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/2/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor1,Contractor1,10000
1A CRAH 2,1A CRAH 2,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/3/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor2,Contractor2,10000
1A CRAH 3,1A CRAH 3,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/4/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor3,Contractor3,10000
1A CRAH 4,1A CRAH 4,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/5/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor4,Contractor4,10000
1A CRAH 5,1A CRAH 5,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/6/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor5,Contractor5,10000
1A CRAH 6,1A CRAH 6,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/7/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor6,Contractor6,10000
1A CRAH 7,1A CRAH 7,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/8/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor7,Contractor7,10000
1A CRAH 8,1A CRAH 8,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/9/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor8,Contractor8,10000
1A CRAH 9,1A CRAH 9,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/10/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor9,Contractor9,10000
1A CRAH 10,1A CRAH 10,Test description.,Operational,No,DATA HALL 1A,,,,CRAH,amcgee@enovumdc.com,3/11/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor10,Contractor10,10000
2A CRAH 1,2A CRAH 1,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/12/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor11,Contractor11,10000
2A CRAH 2,2A CRAH 2,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/13/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor12,Contractor12,10000
2A CRAH 3,2A CRAH 3,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/14/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor13,Contractor13,10000
2A CRAH 4,2A CRAH 4,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/15/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor14,Contractor14,10000
2A CRAH 5,2A CRAH 5,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/16/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor15,Contractor15,10000
2A CRAH 6,2A CRAH 6,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/17/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor16,Contractor16,10000
2A CRAH 7,2A CRAH 7,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/18/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor17,Contractor17,10000
2A CRAH 8,2A CRAH 8,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/19/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor18,Contractor18,10000
2A CRAH 9,2A CRAH 9,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/20/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor19,Contractor19,10000
2A CRAH 10,2A CRAH 10,Test description.,Operational,No,DATA HALL 2A,,,,CRAH,amcgee@enovumdc.com,3/21/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor20,Contractor20,10000
UPS-1F-1,UPS-1F-1,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,UPS,amcgee@enovumdc.com,3/22/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor21,Contractor21,10000
UPS-1F-2,UPS-1F-2,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,UPS,amcgee@enovumdc.com,3/23/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor22,Contractor22,10000
UPS-1F-3,UPS-1F-3,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,UPS,amcgee@enovumdc.com,3/24/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor23,Contractor23,10000
UPS-1E-1,UPS-1E-1,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,UPS,amcgee@enovumdc.com,3/25/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor24,Contractor24,10000
UPS-1E-2,UPS-1E-2,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,UPS,amcgee@enovumdc.com,3/26/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor25,Contractor25,10000
UPS-1E-3,UPS-1E-3,Test description.,Operational,No,ELECTRICAL ROOM 1C,,,,UPS,amcgee@enovumdc.com,3/27/27 16:25,See Datasheet and Work Instruction,,abc@gmail.com,A Team,Test part,Vendor26,Contractor26,10000
