ID,Name,Address,Parent Location,Assigned To,Teams,Vendors,Contractors
,PUMP ROOM 1,805 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,PUMP ROOM 2,806 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,DATA HALL 1A,807 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,DATA HALL 1B,808 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 1A,809 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 1B,810 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 1C,811 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 1D,812 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,DATA HALL 2A,813 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,DATA HALL 2B,814 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 2A,815 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 2B,816 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 2C,817 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,ELECTRICAL ROOM 2D,818 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,MEET ME ROOM 1,819 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,MEET ME ROOM 2,820 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,MEET ME ROOM 3,821 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
,YARD,822 Island Drive,MAD01,amcgee@enovumdc.com,Maintenance,,
