Asset,Parent Asset,Manufacturer,Model,Description,Asset Type,Serial Number,Barcode,Location,Responsible Teams
1A CRAH 1,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 2,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 3,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 4,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 5,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 6,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 7,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 8,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 9,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
1A CRAH 10,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 1A,Maintenance|Management
2A CRAH 1,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 2,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 3,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 4,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 5,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 6,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 7,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 8,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 9,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
2A CRAH 10,,,AHU-M-I-2-D-FG-N-NN-4-CC-SF-004-035-FI-EP,Test description.,CRAH,,,DATA HALL 2A,Maintenance|Management
UPS-1F-1,,,52SA11MADCAATE8,Test description.,UPS,,,ELECTRICAL ROOM 1C,Maintenance|Management
UPS-1F-2,,,52SA11MADCAATE8,Test description.,UPS,,,ELECTRICAL ROOM 1C,Maintenance|Management
